Índice de Gini da renda domiciliar per capita segundo Município - Paraíba;;;
Período: 1991, 2000 e 2010;;;
250915 Marizópolis;...;0,5043;0,5174
250920 Massaranduba;0,4852;0,5986;0,4654
250930 Mataraca;0,4309;0,5251;0,501
250933 Matinhas;...;0,4811;0,4411
250937 Mato Grosso;...;0,4351;0,4691
250939 Maturéia;...;0,6899;0,5226
250940 Mogeiro;0,5221;0,483;0,504
250950 Montadas;0,499;0,5539;0,4751
250960 Monte Horebe;0,5825;0,6076;0,5487
250970 Monteiro;0,5366;0,5781;0,5788
250980 Mulungu;0,4533;0,5412;0,4982
250990 Natuba;0,5523;0,5188;0,5442
251000 Nazarezinho;0,5101;0,567;0,5196
251010 Nova Floresta;0,5082;0,4865;0,5212
251020 Nova Olinda;0,581;0,5914;0,5274
251030 Nova Palmeira;0,4569;0,4894;0,4587
251040 Olho d'Água;0,5056;0,6336;0,5557
251050 Olivedos;0,4668;0,5075;0,509
251060 Ouro Velho;0,4562;0,4787;0,483
251065 Parari;...;0,4634;0,4991
251070 Passagem;0,5034;0,5722;0,5123
251080 Patos;0,5972;0,5866;0,563
251090 Paulista;0,5514;0,558;0,4969
251100 Pedra Branca;0,5175;0,5808;0,5077
251110 Pedra Lavrada;0,4364;0,4918;0,4945
251120 Pedras de Fogo;0,5499;0,4922;0,5399
251272 Pedro Régis;...;0,502;0,5268
251130 Piancó;0,5114;0,5769;0,5427
251140 Picuí;0,5318;0,5485;0,5281
251150 Pilar;0,4451;0,5061;0,4997
251160 Pilões;0,5314;0,4746;0,5897
251170 Pilõezinhos;0,4171;0,5898;0,4416
251180 Pirpirituba;0,4373;0,5738;0,5303
251190 Pitimbu;0,4799;0,5445;0,5106
251200 Pocinhos;0,53;0,5274;0,4651
251203 Poço Dantas;...;0,7025;0,4921
251207 Poço de José de Moura;...;0,6152;0,4605
251210 Pombal;0,5937;0,5387;0,537
251220 Prata;0,6341;0,5588;0,4389
251230 Princesa Isabel;0,547;0,5531;0,4803
251240 Puxinanã;0,5406;0,5518;0,4575
251250 Queimadas;0,4794;0,519;0,4687
251260 Quixabá;0,3275;0,4277;0,4638
251270 Remígio;0,5625;0,5708;0,5586
251274 Riachão;...;0,5043;0,5183
251275 Riachão do Bacamarte;...;0,4814;0,5016
251276 Riachão do Poço;...;0,529;0,4975
251278 Riacho de Santo Antônio;...;0,4926;0,4377
251280 Riacho dos Cavalos;0,4546;0,5123;0,4431
251290 Rio Tinto;0,4896;0,5416;0,5092
251300 Salgadinho;0,4305;0,562;0,4661
251310 Salgado de São Félix;0,4693;0,5153;0,512
251315 Santa Cecília;...;0,5141;0,4846
251320 Santa Cruz;0,5163;0,5128;0,4592
251330 Santa Helena;0,9242;0,5328;0,505
251335 Santa Inês;...;0,5755;0,5333
251340 Santa Luzia;0,5356;0,5291;0,5184
251370 Santa Rita;0,4674;0,5084;0,476
251380 Santa Teresinha;0,4593;0,4968;0,5973
251350 Santana de Mangueira;0,5834;0,5202;0,5484
251360 Santana dos Garrotes;0,4986;0,5371;0,4896
251385 Santo André;...;0,6061;0,4681
251392 São Bentinho;...;0,4353;0,4655
251390 São Bento;0,3891;0,4889;0,4802
251396 São Domingos;...;0,5931;0,457
251394 São Domingos do Cariri;...;0,4624;0,4803
251398 São Francisco;...;0,4734;0,4525
251400 São João do Cariri;0,5442;0,4552;0,5335
250070 São João do Rio do Peixe;0,5411;0,5977;0,5327
251410 São João do Tigre;0,4028;0,6302;0,5166
251420 São José da Lagoa Tapada;0,6311;0,5291;0,4949
251430 São José de Caiana;0,5004;0,5616;0,4469
251440 São José de Espinharas;0,4311;0,4894;0,4501
251450 São José de Piranhas;0,553;0,5662;0,5023
251455 São José de Princesa;...;0,5514;0,4548
251460 São José do Bonfim;0,4399;0,4572;0,4846
251465 São José do Brejo do Cruz;...;0,403;0,465
251470 São José do Sabugi;0,4238;0,4531;0,4348
251480 São José dos Cordeiros;0,4843;0,4924;0,4903
251445 São José dos Ramos;...;0,5687;0,5136
251490 São Mamede;0,4586;0,5653;0,5267
251500 São Miguel de Taipu;0,3959;0,4637;0,4897
251510 São Sebastião de Lagoa de Roça;0,5913;0,6467;0,4873
251520 São Sebastião do Umbuzeiro;0,4558;0,449;0,4681
251530 Sapé;0,4799;0,5322;0,5176
251540 SAO VICENTE DO SERIDO;0,4534;0,545;0,481
251550 Serra Branca;0,5847;0,5257;0,4863
251560 Serra da Raiz;0,4989;0,4475;0,4996
251570 Serra Grande;0,5062;0,5661;0,4792
251580 Serra Redonda;0,4821;0,4951;0,4902
251590 Serraria;0,5442;0,5787;0,5151
251593 Sertãozinho;...;0,5011;0,4742
251597 Sobrado;...;0,5202;0,4921
251600 Solânea;0,617;0,6293;0,5773
251610 Soledade;0,5295;0,5807;0,5216
251615 Sossêgo;...;0,4589;0,4987
251620 Sousa;0,56;0,5861;0,5475
251630 Sumé;0,482;0,5308;0,5055
251640 Tacima;0,5832;0,5919;0,4933
251650 Taperoá;0,5081;0,5558;0,4917
251660 Tavares;0,5841;0,4957;0,5317
251670 Teixeira;0,5225;0,6117;0,5611
251675 Tenório;...;0,4345;0,4288
251680 Triunfo;0,6136;0,5331;0,4869
251690 Uiraúna;0,5723;0,6355;0,5482
251700 Umbuzeiro;0,4554;0,6302;0,5487
251710 Várzea;0,4389;0,4279;0,4078
251720 Vieirópolis;...;0,5576;0,4526
250550 Vista Serrana;0,531;0,4266;0,4755
251740 Zabelê;...;0,4101;0,4361
